Company_name,Description,Ratings,Rating_count,No_of_reviews,Salaries,Interviews,Jobs,Benefits,Photos
TVS Credit Services Ltd,NBFC | Chennai +444 other locations,4.2,(3.4k),3.4k,7.5k,168,56,201,12
Ford Motor,Automobile | Chennai +130 other locations,4.2,(3.4k),3.4k,15.6k,176,6,401,12
NatWest Group,Banking | Gurugram +29 other locations,3.9,(3.4k),3.4k,21.8k,240,71,367,11
AGS Health,Analytics & KPO | Chennai +64 other locations,4.0,(3.4k),3.4k,14.9k,221,46,279,--
HARMAN,Consumer Electronics & Appliances | Bengaluru +42 other locations,3.8,(3.3k),3.3k,24.2k,296,157,104,3
Alstom Transportation,Engineering & Construction | Bengaluru +80 other locations,3.7,(3.3k),3.3k,15.8k,284,201,181,8
Croma,Retail | Mumbai +191 other locations,3.8,(3.3k),3.3k,9.6k,192,67,192,9
Conduent,BPO | Bengaluru +36 other locations,3.4,(3.3k),3.3k,17.4k,241,472,369,10
Niva Bupa Health Insurance Company,Insurance | New Delhi +323 other locations,4.0,(3.3k),3.3k,8.7k,382,86,123,13
InterGlobe Aviation,Aviation | New Delhi +104 other locations,3.4,(3.3k),3.3k,13.8k,379,25,322,5
Indian Air Force,Defence & Aerospace | New Delhi +134 other locations,4.6,(3.3k),3.3k,5.3k,86,2,357,--
Tata Technologies,Automobile | Pune +57 other locations,3.4,(3.3k),3.3k,23.4k,316,194,315,14
Tata AIG,Insurance | Mumbai +262 other locations,4.0,(3.3k),3.3k,11.8k,196,65,249,6
Canara HSBC Life Insurance,Insurance | Gurugram +366 other locations,4.1,(3.3k),3.3k,6.5k,579,--,187,10
GeBBS Healthcare Solutions,BPO | Mumbai +26 other locations,3.8,(3.3k),3.3k,11.4k,186,68,295,11
UPL,Agro Chemicals | Ankleshwar +185 other locations,4.1,(3.2k),3.2k,11.2k,225,40,295,2
Sagility,BPO | Bengaluru +28 other locations,3.9,(3.2k),3.2k,12.9k,253,85,59,85
Tata AutoComp Systems,Auto Components | Pune +78 other locations,3.7,(3.2k),3.2k,10.9k,219,69,183,5
PepsiCo,Food Processing | Hyderabad +280 other locations,4.0,(3.2k),3.2k,14.2k,251,181,250,18
Allcargo Logistics,Logistics | Mumbai +175 other locations,3.8,(3.2k),3.2k,7.1k,139,25,338,10
Max Healthcare,Healthcare | New Delhi +78 other locations,4.0,(3.2k),3.2k,10.6k,195,136,283,26
Jindal Stainless,Iron & Steel | Jajpur +77 other locations,4.2,(3.2k),3.2k,11.9k,329,122,197,12
Mankind Pharma,Pharma | New Delhi +247 other locations,3.8,(3.2k),3.2k,9.8k,261,5,253,14
Titan Company,Retail | Bengaluru +185 other locations,4.2,(3.2k),3.2k,9.8k,211,81,336,16
Amazon Transportation Services,Logistics | Hyderabad +223 other locations,4.2,(3.2k),3.2k,8.6k,261,--,250,23
Dilip Buildcon,Engineering & Construction | Bhopal +230 other locations,3.9,(3.2k),3.2k,8k,192,10,301,26
Walmart,Retail | Bengaluru +91 other locations,3.5,(3.1k),3.1k,24.2k,447,249,323,12
Varroc Group,Auto Components | Pune +63 other locations,3.6,(3.1k),3.1k,9.7k,226,21,234,5
Societe Generale Global Solution Centre,IT Services & Consulting | Bengaluru +23 other locations,3.6,(3.1k),3.1k,23.5k,305,42,297,--
S&P Global,Analytics & KPO | Hyderabad +48 other locations,4.0,(3.1k),3.1k,21k,336,178,217,--
Marpu Foundation,Non-Profit | Hyderabad +61 other locations,4.9,(3.1k),3.1k,61,266,--,8,5
MSN Laboratories,Pharma | Hyderabad +106 other locations,3.6,(3.1k),3.1k,9.6k,180,38,158,7
Quest Global,IT Services & Consulting | Bengaluru +49 other locations,3.5,(3.1k),3.1k,22.1k,368,202,196,11
Afcons Infrastructure,Engineering & Construction | Mumbai +124 other locations,4.2,(3.1k),3.1k,8.7k,273,36,316,14
Ola Electric Mobility,Automobile | Bengaluru +442 other locations,3.3,(3.1k),3.1k,9.7k,312,--,83,29
Torrent Pharmaceuticals,Pharma | Ahmedabad +131 other locations,4.0,(3.1k),3.1k,10.5k,173,33,314,3
ESAF Small Finance Bank,Banking | Thrissur +458 other locations,3.6,(3.1k),3.1k,7.8k,175,60,107,23
IDFC FIRST Bharat,Financial Services | Chennai +443 other locations,4.2,(3.1k),3.1k,5.2k,156,11,75,2
DS Group,FMCG | Noida +287 other locations,4.1,(3k),3k,7.4k,233,46,218,7
HDFC Sales,Financial Services | Mumbai +351 other locations,3.9,(3k),3k,8.2k,198,33,193,2
Future Group,Retail | Mumbai +207 other locations,4.2,(3k),3k,6.3k,84,--,423,3
Square Yards,Internet | Gurugram +51 other locations,3.5,(3k),3k,9.5k,234,99,237,37
Tata Elxsi,IT Services & Consulting | Bengaluru +31 other locations,3.4,(3k),3k,24.2k,345,87,204,8
Zensar Technologies,IT Services & Consulting | Pune +29 other locations,3.7,(3k),3k,25.8k,285,446,246,24
Bharat Financial Inclusion,Financial Services | Hyderabad +509 other locations,3.7,(3k),3k,5.5k,127,1,180,24
CMS IT Services,IT Services & Consulting | Mumbai +153 other locations,3.1,(3k),3k,9.4k,161,58,195,7
Suzlon Group,Power | Pune +145 other locations,4.0,(3k),3k,7.8k,183,23,327,5
I Process Services,Recruitment | Mumbai +405 other locations,3.8,(3k),3k,5.6k,140,--,128,4
Indus Towers,Telecom | Gurugram +243 other locations,3.6,(3k),3k,9.4k,229,56,205,11
Tata Electronics,Semiconductors | Hosur +59 other locations,3.9,(3k),3k,12.6k,286,116,70,6
ACC,Building Material | Mumbai +275 other locations,3.9,(3k),3k,9k,238,13,275,5
Fujitsu,IT Services & Consulting | Pune +41 other locations,3.8,(3k),3k,17.8k,214,115,194,19
VVDN Technologies,IT Services & Consulting | Gurugram +51 other locations,3.6,(3k),3k,14.1k,264,9,131,12
Eternal Limited,Internet | Gurugram +219 other locations,3.6,(3k),3k,15k,366,21,223,12
Zepto,Internet | Bengaluru +107 other locations,3.6,(2.9k),2.9k,10.4k,472,42,39,13
IKS Health,BPO | Mumbai +31 other locations,3.6,(2.9k),2.9k,11.7k,271,12,232,14
Shoppers Stop,Retail | Mumbai +85 other locations,4.0,(2.9k),2.9k,7k,149,36,320,17
Nokia,Telecom | Bengaluru +165 other locations,4.0,(2.9k),2.9k,17.2k,331,137,545,15
Yazaki,Auto Components | Pune +94 other locations,3.9,(2.9k),2.9k,9.2k,194,2,259,2
Apollo Tyres,Auto Components | Chennai +179 other locations,4.0,(2.9k),2.9k,10k,155,16,323,7
Shree Cement,Building Material | Beawar +261 other locations,3.8,(2.9k),2.9k,10k,234,11,221,15
Fiserv,FinTech | Pune +33 other locations,2.8,(2.9k),2.9k,17.8k,199,26,319,11
Britannia,FMCG | Pune +306 other locations,4.0,(2.8k),2.8k,8.4k,240,19,251,8
Landmark Group,Retail | Bengaluru +175 other locations,3.8,(2.8k),2.8k,9.6k,179,6,267,9
Dalmia Bharat Cement,Building Material | Guwahati +256 other locations,3.9,(2.8k),2.8k,5.7k,208,1,248,16
SRF,Chemicals | Bharuch +67 other locations,4.1,(2.8k),2.8k,9.2k,212,14,253,5
UnitedHealth,Healthcare | Hyderabad +18 other locations,4.0,(2.8k),2.8k,13.8k,84,--,432,--
Blue Dart Express Ltd,Logistics | Mumbai +279 other locations,3.9,(2.8k),2.8k,6.9k,135,10,237,9
Kansai Nerolac Paints,Chemicals | Mumbai +261 other locations,3.8,(2.8k),2.8k,8k,198,66,196,6
Nestlé,FMCG | Gurugram +282 other locations,3.7,(2.8k),2.8k,10.2k,288,20,321,19
Exl India,Logistics | New Delhi +45 other locations,3.5,(2.8k),2.8k,17.8k,135,--,168,1
ZS,Management Consulting | Pune +17 other locations,3.1,(2.8k),2.8k,21.8k,530,129,266,23
Exide Industries,Auto Components | Kolkata +198 other locations,3.4,(2.8k),2.8k,8.9k,221,54,244,6
Shell,Oil & Gas | Bengaluru +91 other locations,3.9,(2.8k),2.8k,14.3k,239,44,261,8
Star Health & Allied Insurance,Insurance | Chennai +336 other locations,3.5,(2.7k),2.7k,10.4k,159,22,171,17
Physicswallah,EdTech | Noida +139 other locations,3.6,(2.7k),2.7k,9.2k,301,375,40,11
KPMG Global Services,Management Consulting | Bengaluru +38 other locations,3.4,(2.7k),2.7k,24.4k,271,46,9,--
Flex,Electronics Manufacturing | Chennai +46 other locations,3.9,(2.7k),2.7k,15.7k,215,49,439,14
Foxconn,Electronics Manufacturing | Chennai +64 other locations,3.8,(2.7k),2.7k,11.7k,242,79,177,3
TVS Supply Chain Solutions,Logistics | Chennai +155 other locations,3.8,(2.7k),2.7k,8.6k,162,15,197,21
Micro Labs,Pharma | Bengaluru +155 other locations,3.6,(2.7k),2.7k,9.9k,156,22,208,2
ElasticRun,Logistics | Pune +390 other locations,3.6,(2.7k),2.7k,6.3k,278,6,226,45
KFintech,Financial Services | Hyderabad +113 other locations,3.4,(2.7k),2.7k,11.2k,180,22,53,2
Whitehat jr,EdTech | Mumbai +48 other locations,3.3,(2.7k),2.7k,9k,265,--,944,3
Capita,BPO | Pune +32 other locations,3.5,(2.7k),2.7k,12.6k,169,38,331,3
G4S,Law Enforcement & Security | Gurugram +165 other locations,4.0,(2.7k),2.7k,5.2k,134,819,240,15
Ajanta Pharma,Pharma | Mumbai +118 other locations,3.9,(2.7k),2.7k,9k,170,18,216,10
Blue Star,Consumer Electronics & Appliances | Mumbai +148 other locations,4.0,(2.7k),2.7k,9.9k,200,75,241,18
Voltas,Consumer Electronics & Appliances | Mumbai +203 other locations,4.0,(2.6k),2.6k,8.6k,177,33,258,1
Care Health Insurance,Insurance | Gurugram +251 other locations,3.5,(2.6k),2.6k,8.8k,165,45,167,2
Movate,IT Services & Consulting | Chennai +38 other locations,3.1,(2.6k),2.6k,15.3k,297,119,6,24
Gallagher,Insurance | Bengaluru +29 other locations,3.6,(2.6k),2.6k,14.7k,279,131,126,1
Sonalika Tractors,Automobile | Hoshiarpur +195 other locations,3.5,(2.6k),2.6k,9.1k,177,--,174,4
Photon Interactive,IT Services & Consulting | Chennai +19 other locations,4.1,(2.6k),2.6k,7.6k,140,725,123,--
BlackBuck,Internet | Bengaluru +362 other locations,3.7,(2.6k),2.6k,6.4k,217,26,247,13
Tata Advanced Systems,Defence & Aerospace | Bengaluru +58 other locations,3.7,(2.6k),2.6k,13.2k,191,--,140,6
NoBroker,Internet | Bengaluru +46 other locations,3.0,(2.6k),2.6k,11k,288,319,358,25
DBS Bank,Banking | Hyderabad +179 other locations,3.7,(2.6k),2.6k,13.4k,202,303,194,11
Adani Power,Power | Mundra +129 other locations,3.7,(2.6k),2.6k,10.1k,326,--,169,9
ACT Fibernet,Telecom | Hyderabad +57 other locations,3.8,(2.6k),2.6k,7.9k,166,151,259,16
Domino's Pizza,Hospitality | New Delhi +252 other locations,3.9,(2.6k),2.6k,4.2k,136,--,396,16
Foundever,BPO | Hyderabad +21 other locations,3.4,(2.6k),2.6k,9k,187,41,204,14
Fortis Healthcare,Healthcare | New Delhi +69 other locations,4.0,(2.6k),2.6k,7.7k,197,993,143,3
IntouchCX,BPO | Hyderabad +22 other locations,2.7,(2.6k),2.6k,10.4k,241,179,153,17
Himalaya Wellness,Pharma | Bengaluru +243 other locations,3.9,(2.6k),2.6k,6k,152,35,259,9
BT Group,Telecom | Gurugram +26 other locations,3.8,(2.6k),2.6k,12k,232,23,273,24
Laurus Labs,Pharma | Visakhapatnam +34 other locations,4.3,(2.6k),2.6k,7.3k,158,6,214,11
Sahrudaya Healthcare (Medicover Hospitals),Healthcare | Hyderabad +46 other locations,4.4,(2.6k),2.6k,3.6k,147,19,1,4
V-Mart,Retail | Gurugram +286 other locations,4.0,(2.5k),2.5k,4.4k,196,28,217,15
Alldigi Tech,BPO | Chennai +36 other locations,3.9,(2.5k),2.5k,7.6k,236,20,113,33
JCB,Industrial Machinery | Pune +111 other locations,3.8,(2.5k),2.5k,9.9k,174,--,236,8
Sterlite Technologies,Hardware & Networking | Chhatrapati Sambhajinagar +100 other locations,3.8,(2.5k),2.5k,10.1k,186,126,211,10
Northern Trust Operating Services,Financial Services | Bengaluru +27 other locations,3.6,(2.5k),2.5k,17.8k,244,122,229,13
Bajaj Electricals,Consumer Electronics & Appliances | Mumbai +233 other locations,3.9,(2.5k),2.5k,7.2k,154,22,292,6
Sammaan Capital Limited,NBFC | Gurugram +199 other locations,3.7,(2.5k),2.5k,5.8k,114,21,121,2
Tractors and Farm Equipment,Industrial Machinery | Chennai +191 other locations,3.9,(2.5k),2.5k,8.5k,137,40,278,9
Parle Agro,Beverage | Mumbai +259 other locations,3.9,(2.5k),2.5k,7.1k,150,1,214,9
Adani Group,Power | Ahmedabad +201 other locations,3.8,(2.5k),2.5k,11.3k,307,555,109,8
Planet Spark,EdTech | Gurugram +59 other locations,3.8,(2.5k),2.5k,3.8k,602,69,196,1
ICICI Securities,Financial Services | Mumbai +151 other locations,3.9,(2.5k),2.5k,9.7k,199,8,192,4
CorroHealth Infotech,Analytics & KPO | Hyderabad +38 other locations,3.6,(2.5k),2.5k,7.8k,286,52,10,18
Emcure Pharmaceuticals,Pharma | Pune +119 other locations,3.6,(2.5k),2.5k,8.5k,131,66,238,13
Biocon Limited,Biotechnology | Bengaluru +65 other locations,4.0,(2.5k),2.5k,11.6k,189,36,5,1
McDonald's,Hospitality | New Delhi +151 other locations,3.9,(2.4k),2.4k,5k,160,--,413,6
Hero FinCorp,NBFC | New Delhi +395 other locations,3.9,(2.4k),2.4k,5.8k,124,55,129,2
Intellect Design Arena,Software Product | Chennai +40 other locations,3.5,(2.4k),2.4k,14k,183,25,118,8
Paras Hospital,Healthcare | Patna +60 other locations,4.1,(2.4k),2.4k,3.2k,101,78,128,43
TaskUs,BPO | Indore +37 other locations,3.0,(2.4k),2.4k,10k,232,264,124,15
Datamatics Global Services,IT Services & Consulting | Mumbai +37 other locations,3.4,(2.4k),2.4k,11.7k,184,68,185,5
Mahindra Holidays & Resorts,Hospitality | Mumbai +113 other locations,3.5,(2.4k),2.4k,6k,133,64,202,16
Mahindra Rural Housing Finance,NBFC | Mumbai +471 other locations,4.0,(2.4k),2.4k,4.8k,105,13,183,6
Patanjali Ayurved,FMCG | Haridwar +297 other locations,3.9,(2.4k),2.4k,5.8k,138,--,248,3
Cadila Pharmaceuticals,Pharma | Ahmedabad +136 other locations,3.2,(2.4k),2.4k,8.1k,163,100,174,13
Statestreet HCL Services,BPO | Chennai +18 other locations,3.4,(2.4k),2.4k,12.9k,221,--,201,--
Syngene International,Clinical Research | Bengaluru +22 other locations,3.8,(2.4k),2.4k,12.7k,191,8,219,16
GAO Tek,Electrical Equipment | New York +44 other locations,4.4,(2.4k),2.4k,264,650,--,52,1
Aditya Birla Group,Metals & Mining | Mumbai +272 other locations,4.1,(2.4k),2.4k,10.2k,244,2,251,15
Taj Hotels Resorts and Palaces,Hospitality | Mumbai +112 other locations,4.2,(2.4k),2.4k,4.9k,164,240,180,5
Cholamandalam MS General Insurance,Insurance | Chennai +394 other locations,3.7,(2.4k),2.4k,5.9k,115,20,169,4
3i Infotech,IT Services & Consulting | Mumbai +131 other locations,3.4,(2.4k),2.4k,10.7k,168,76,150,3
Bureau Veritas,Other | Mumbai +150 other locations,3.8,(2.4k),2.4k,8.3k,147,47,183,12
Info Edge,Internet | Noida +70 other locations,3.9,(2.4k),2.4k,11.4k,385,389,301,28
Axis Direct,Financial Services | Mumbai +270 other locations,3.7,(2.4k),2.4k,4.6k,88,53,228,--
Capgemini Engineering,IT Services & Consulting | Bengaluru +28 other locations,3.3,(2.4k),2.4k,13.5k,403,--,140,4
RMSI,IT Services & Consulting | Hyderabad +25 other locations,3.5,(2.4k),2.4k,9.2k,195,9,185,4
Delhi Public School,Education & Training | New Delhi +277 other locations,3.7,(2.4k),2.4k,5.3k,160,114,259,8
Newgen Software Technologies,IT Services & Consulting | Noida +32 other locations,4.1,(2.4k),2.4k,11.7k,209,51,147,8
Aavas Financiers,NBFC | Jaipur +295 other locations,3.9,(2.4k),2.4k,5.8k,123,269,139,8
Cybage,IT Services & Consulting | Pune +15 other locations,3.7,(2.3k),2.3k,17.3k,213,21,272,4
KocharTech,IT Services & Consulting | Kolkata +25 other locations,3.6,(2.3k),2.3k,3.8k,83,52,582,6
Xoriant,IT Services & Consulting | Pune +23 other locations,4.0,(2.3k),2.3k,11.6k,236,27,413,48
Straive,IT Services & Consulting | Chennai +32 other locations,3.3,(2.3k),2.3k,10.6k,225,89,124,15
Sopra Steria,IT Services & Consulting | Noida +19 other locations,3.9,(2.3k),2.3k,14.3k,185,57,241,8
Lodha,Real Estate | Mumbai +29 other locations,4.2,(2.3k),2.3k,8.9k,176,201,179,9
Kia India,Automobile | Anantapur +190 other locations,3.9,(2.3k),2.3k,8.3k,181,94,170,14
Apollo Pharmacy,Pharma | Hyderabad +289 other locations,3.7,(2.3k),2.3k,7.1k,194,1k,132,6
Akums Drugs & Pharmaceuticals Limited,Pharma | Haridwar +40 other locations,4.2,(2.3k),2.3k,6.3k,335,33,150,22
GVK Emergency Management and Research Institute,Non-Profit | Lucknow +216 other locations,3.6,(2.3k),2.3k,4.6k,121,71,181,7
Sobha,Real Estate | Bengaluru +39 other locations,3.8,(2.3k),2.3k,8.4k,167,38,222,9
TCE,Engineering & Construction | Mumbai +133 other locations,3.8,(2.3k),2.3k,9.9k,301,63,168,9
Eureka Forbes,Consumer Electronics & Appliances | Mumbai +185 other locations,3.6,(2.3k),2.3k,5.6k,94,6,231,5
Lifestyle,Retail | Bengaluru +129 other locations,4.2,(2.3k),2.3k,6.8k,87,14,279,11
SBI Securities,Financial Services | Mumbai +321 other locations,3.6,(2.3k),2.3k,6.9k,189,61,110,21
Bharat Petroleum,Oil & Gas | Mumbai +263 other locations,4.2,(2.3k),2.3k,7.4k,191,--,195,16
Endurance Technologies Limited,Auto Components | Chhatrapati Sambhajinagar +51 other locations,4.0,(2.3k),2.3k,8k,141,14,236,1
Myntra,Internet | Bengaluru +101 other locations,3.8,(2.3k),2.3k,10.7k,361,9,312,37
Team Computers,IT Services & Consulting | New Delhi +108 other locations,3.6,(2.3k),2.3k,8.7k,201,164,116,1
Panasonic Life Solutions India,Consumer Electronics & Appliances | Mumbai +168 other locations,3.9,(2.3k),2.3k,7k,99,12,108,6
Radisson Hotels,Hospitality | New Delhi +131 other locations,4.0,(2.3k),2.3k,5.2k,106,249,313,12
Unacademy,EdTech | Bengaluru +73 other locations,2.9,(2.3k),2.3k,10.3k,239,15,154,41
Daikin Airconditioning India Pvt. Ltd.,Consumer Electronics & Appliances | Neemrana +108 other locations,4.2,(2.3k),2.3k,8k,216,3,148,2
Star Union Dai-ichi Life Insurance,Insurance | Mumbai +327 other locations,3.8,(2.3k),2.3k,5.4k,139,6,98,23
BNP Paribas,Banking | Mumbai +27 other locations,3.7,(2.2k),2.2k,19k,220,37,178,8
AWL Agri Business,FMCG | Ahmedabad +204 other locations,4.0,(2.2k),2.2k,7.1k,142,7,178,8
Bharti AXA Life Insurance,Insurance | Mumbai +244 other locations,3.6,(2.2k),2.2k,5k,154,957,174,10
SBI General Insurance,Insurance | Mumbai +294 other locations,3.5,(2.2k),2.2k,6.6k,136,39,134,6
Cisco,Hardware & Networking | Bengaluru +46 other locations,4.1,(2.2k),2.2k,19.2k,419,236,225,19
Henry Harvin Education,EdTech | Noida +34 other locations,4.0,(2.2k),2.2k,957,117,54,74,2
Renault Nissan Technology & Business Centre India,Automobile | Chennai +21 other locations,3.7,(2.2k),2.2k,15.2k,157,12,210,--
Lava International,Consumer Electronics & Appliances | Noida +223 other locations,3.9,(2.2k),2.2k,4.3k,88,5,305,3
Sify Technologies,IT Services & Consulting | Chennai +135 other locations,3.6,(2.2k),2.2k,10k,148,50,157,4
Whirlpool,Consumer Electronics & Appliances | Pune +171 other locations,4.0,(2.2k),2.2k,8k,120,17,203,9
Coromandel International,Agro Chemicals | Visakhapatnam +186 other locations,4.1,(2.2k),2.2k,7.7k,128,29,220,3
Allstate,Insurance | Pune +17 other locations,3.7,(2.2k),2.2k,12.4k,157,22,188,6
ValueLabs,IT Services & Consulting | Hyderabad +20 other locations,3.5,(2.2k),2.2k,16.3k,217,148,267,11
GlaxoSmithKline Pharmaceuticals,Pharma | Bengaluru +215 other locations,4.1,(2.2k),2.2k,5.8k,128,15,112,1
Ambuja Cements,Building Material | Mumbai +261 other locations,3.8,(2.2k),2.2k,6k,168,--,213,6
Indian Railways,Railways | Kolkata +250 other locations,4.2,(2.2k),2.2k,3.5k,115,--,163,18
Shahi Exports,Fashion & Textile | Bengaluru +71 other locations,3.9,(2.2k),2.2k,6.9k,126,58,230,25
Meesho,Internet | Bengaluru +132 other locations,3.7,(2.2k),2.2k,9.8k,438,49,300,13
Mercedes-Benz Research and Development India,IT Services & Consulting | Bengaluru +52 other locations,3.6,(2.2k),2.2k,18.3k,209,--,197,7
Bank of Baroda,Banking | Mumbai +301 other locations,3.5,(2.2k),2.2k,7k,123,--,154,15
Nokia Networks,Hardware & Networking | Bengaluru +86 other locations,4.1,(2.2k),2.2k,10.4k,128,2,10,--
Poonawalla Fincorp,NBFC | Pune +266 other locations,3.5,(2.2k),2.2k,6.1k,87,13,133,--
Spark Minda,Auto Components | Pune +76 other locations,3.8,(2.2k),2.2k,7.3k,161,17,42,18
Generali Central Life Insurance,Insurance | Mumbai +207 other locations,3.5,(2.1k),2.1k,6.6k,122,35,166,7
Life Insurance Corporation of India,Insurance | New Delhi +478 other locations,4.4,(2.1k),2.1k,4.6k,106,4,246,22
Brakes India,Auto Components | Chennai +100 other locations,3.9,(2.1k),2.1k,7.1k,110,41,215,2
upGrad,EdTech | Bengaluru +51 other locations,3.3,(2.1k),2.1k,9.4k,217,32,130,18
JK Tyre,Auto Components | Chennai +148 other locations,3.8,(2.1k),2.1k,7k,167,11,194,4
Cargill,Food Processing | Bengaluru +122 other locations,3.9,(2.1k),2.1k,8.7k,113,100,149,7
Microsoft Corporation,Software Product | Bengaluru +46 other locations,3.8,(2.1k),2.1k,31.6k,629,--,199,7
Saint-Gobain,Building Material | Mumbai +104 other locations,3.8,(2.1k),2.1k,12k,214,104,248,9
Manipal Hospitals,Healthcare | Bengaluru +66 other locations,4.0,(2.1k),2.1k,7.3k,140,60,140,4
FirstCry,Retail | Pune +213 other locations,3.5,(2.1k),2.1k,9k,217,24,72,13
Jio Platforms,IT Services & Consulting | Mumbai +105 other locations,3.4,(2.1k),2.1k,14.9k,269,--,66,--
CAMS,Financial Services | Chennai +109 other locations,3.6,(2.1k),2.1k,8.9k,152,25,53,6
Power Mech Projects,Engineering & Construction | Hyderabad +151 other locations,3.8,(2.1k),2.1k,6.9k,126,3,160,5
Nuvoco Vistas,Building Material | Kolkata +202 other locations,4.1,(2.1k),2.1k,7.2k,134,26,134,5
BHEL,Electrical Equipment | Bengaluru +134 other locations,4.2,(2.1k),2.1k,5.4k,138,53,233,11
Kotak Securities,Financial Services | Mumbai +142 other locations,3.5,(2.1k),2.1k,9.5k,147,33,153,3
